# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
11031.5000 M225 750939 3 4352.5000 p37 c70 227 N p37->p3->c46->c70
11041.2000 M320 714807 3 1609.2000 p15 p7 273 N p15->w107->p27->p7
11101.6000 M264 996561 3 3272.6000 w95 p7 245 N w95->c51->w108->p7
11105.1000 M139 592046 3 6970.1000 w119 w91 183 N w119->p28->c74->w91
11142.8000 M262 924477 4 3368.8000 c53 c64 243 N c53->p33->p39->p16->c64
11143.0000 M136 846612 1 7095.0000 w101 p30 181 N w101->p30
11154.5000 M316 520630 2 1832.5000 c51 w93 269 N c51->c77->w93
11164.4000 M284 971618 4 2770.4000 c58 p28 253 N c58->c47->c60->w97->p28
11189.1000 M185 502540 1 5702.1000 t120 c45 204 N t120->c45
11195.8000 M221 948206 2 4642.8000 w118 c78 222 N w118->p2->c78
11213.9000 M150 781785 3 6765.9000 w114 w115 187 N w114->c68->c64->w115
11216.3000 M197 736627 3 5366.3000 c77 w101 210 N c77->c72->p29->w101
11324.1000 M226 990073 3 4620.1000 c63 c40 222 N c63->w119->w115->c40
11327.7000 M220 882837 1 4805.7000 c40 w115 219 N c40->w115
11364.8000 M272 545134 3 3305.8000 p5 c40 244 N p5->p9->w88->c40
11374.6000 M341 721375 1 1340.6000 w85 p28 277 N w85->p28
11383.3000 M222 741424 1 4800.3000 w119 c69 219 N w119->c69
11387.8000 M235 503057 3 4422.8000 c45 w88 226 N c45->w97->c78->w88
11415.3000 M291 643126 3 2808.3000 c68 w83 253 N c68->p15->c60->w83
11431.7000 M74 766315 3 9217.7000 p6 c41 146 N p6->c78->w98->c41
11498.2000 M372 906989 1 555.2000 c66 c58 290 N c66->c58
11523.7000 M302 708229 3 2606.7000 w118 c66 256 N w118->w117->w116->c66
11567.1000 M123 660979 2 7894.1000 w97 c44 168 N w97->p38->c44
11623.1000 M309 556109 3 2504.1000 w116 w97 258 N w116->c68->t120->w97
11625.3000 M240 508487 3 4501.3000 c77 p8 224 N c77->p24->c61->p8
11739.5000 M138 650867 3 7633.5000 p39 t121 172 N p39->w86->w97->t121
11767.2000 M337 798118 4 1849.2000 p15 w99 269 N p15->p27->w108->p7->w99
11779.7000 M34 844772 2 10772.7000 c55 w106 120 N c55->p8->w106
11792.6000 M105 744700 3 8652.6000 w85 c66 155 N w85->c64->p38->c66
