# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
12587.8000 M166 766358 4 7667.8000 w92 w112 172 N w92->w106->p21->w85->w112
12610.4000 M316 520630 1 3288.4000 c51 w93 245 N c51->w93
12781.1000 M289 773714 2 4239.1000 c72 c55 229 N c72->p6->c55
12796.3000 M174 952886 3 7633.3000 c58 p14 172 N c58->w117->p7->p14
12894.5000 M291 643126 2 4287.5000 c68 w83 228 N c68->p30->w83
12959.6000 M380 580309 2 1796.6000 p35 p29 270 N p35->c62->p29
12999.1000 M76 892737 3 10729.1000 t122 w106 121 N t122->w102->w112->w106
13094.6000 M198 611919 3 7213.6000 p19 t124 179 N p19->p2->p16->t124
13096.4000 M394 645972 1 1509.4000 p37 w108 274 N p37->w108
13187.0000 M214 723116 1 6839.0000 c43 c76 186 N c43->c76
13230.8000 M56 782957 2 11553.8000 c57 w108 107 N c57->c46->w108
13263.3000 M157 514049 2 8603.3000 w115 w114 156 N w115->p15->w114
13281.2000 M373 563268 1 2311.2000 c68 w114 261 N c68->w114
13305.3000 M202 769146 1 7308.3000 p17 w83 178 N p17->w83
13307.4000 M126 898385 5 9541.4000 w118 c68 140 N w118->p2->p18->w95->p24->c68
13342.8000 M101 827479 3 10320.8000 p32 w107 127 N p32->p3->p12->w107
13422.5000 M297 669428 2 4647.5000 w117 c63 222 N w117->p9->c63
13516.7000 M240 508487 2 6392.7000 c77 p8 193 N c77->c57->p8
13769.1000 M371 725542 1 2856.1000 w82 p9 252 N w82->p9
13804.7000 M407 677009 1 1834.7000 w109 w84 269 N w109->w84
13841.3000 M310 818953 2 4696.3000 w114 p13 221 N w114->w90->p13
14010.5000 M272 545134 3 5951.5000 p5 c40 200 N p5->t123->c58->c40
14047.3000 M350 783852 1 3753.3000 p17 t124 237 N p17->t124
14050.6000 M96 821242 4 11169.6000 c65 t124 113 N c65->w107->p37->p17->t124
14142.3000 M404 538844 1 2255.3000 c56 p14 262 N c56->p14
14199.3000 M47 734776 4 12788.3000 c55 c47 86 N c55->p35->w82->w102->c47
14209.9000 M99 954668 2 11244.9000 c53 c69 112 N c53->p27->c69
14270.0000 M249 944555 2 6877.0000 p25 p4 185 N p25->p13->p4
14335.5000 M139 592046 4 10200.5000 w119 w91 129 N w119->p28->c63->c53->w91
14351.9000 M173 664855 3 9219.9000 w118 c46 146 N w118->w83->w119->c46
14404.6000 M403 675156 2 2544.6000 p18 p16 257 N p18->c63->p16
14588.4000 M327 560289 1 4954.4000 w104 c49 217 N w104->c49
14626.5000 M278 600747 3 6390.5000 w105 c75 193 N w105->t123->t122->c75
14634.2000 M193 821267 3 8905.2000 p24 w109 151 N p24->w105->c75->w109
14683.6000 M493 690980 1 163.6000 w99 c44 297 N w99->c44
14706.9000 M248 729761 2 7339.9000 w117 c43 177 N w117->p7->c43
14712.1000 M428 649731 2 2110.1000 w102 c74 264 N w102->c68->c74
14755.8000 M246 828591 1 7446.8000 c75 w114 175 N c75->w114
14864.0000 M244 775082 5 7623.0000 w117 c72 172 N w117->w118->c67->p17->w86->c72
15162.6000 M233 908572 2 8252.6000 c60 p33 162 N c60->c65->p33
15187.3000 M368 763759 2 4351.3000 w107 w102 227 N w107->c79->w102
15227.4000 M142 541080 4 11009.4000 w99 w101 116 N w99->w95->p38->c66->w101
15281.3000 M397 911137 1 3610.3000 w94 w109 239 N w94->w109
15380.4000 M137 650680 4 11307.4000 p6 c43 111 N p6->c57->w104->p9->c43
15436.4000 M290 802435 2 6862.4000 p7 c46 185 N p7->c45->c46
15437.3000 M237 705144 3 8411.3000 t121 c67 159 N t121->p10->p32->c67
15443.4000 M395 997390 2 3825.4000 c63 p23 236 N c63->w96->p23
15456.5000 M347 679688 3 5246.5000 c78 c62 212 N c78->p1->w96->c62
15499.6000 M324 773182 1 5952.6000 w114 p13 200 N w114->p13
15502.3000 M208 501446 3 9333.3000 w91 t120 144 N w91->p13->w95->t120
15503.1000 M489 867576 2 1103.1000 w109 p13 281 N w109->w114->p13
15564.2000 M321 616894 3 6098.2000 p24 c57 198 N p24->w86->w118->c57
15707.4000 M183 951280 3 10275.4000 c65 p23 128 N c65->w118->p7->p23
15752.6000 M319 647384 3 6347.6000 w94 p17 194 N w94->c49->t122->p17
15991.3000 M201 902705 4 10020.3000 c43 w84 132 N c43->c42->w110->p3->w84
16063.1000 M172 926578 1 10961.1000 p3 p8 117 N p3->p8
16147.8000 M206 584973 1 10033.8000 t121 w107 132 N t121->w107
16169.3000 M530 599585 1 530.3000 w115 c41 291 N w115->c41
16359.1000 M177 669688 2 11103.1000 c49 p11 114 N c49->p21->p11
16434.7000 M330 559185 1 6708.7000 t120 w117 188 N t120->w117
16443.5000 M386 510340 2 5097.5000 w88 c64 215 N w88->w80->c64
16514.8000 M353 899662 2 6135.8000 c46 w114 197 N c46->p22->w114
16560.8000 M527 811736 1 1010.8000 c54 p7 283 N c54->p7
16574.1000 M119 668212 3 13020.1000 w112 p15 82 N w112->p17->t124->p15
16653.7000 M405 603022 2 4741.7000 p34 p24 220 N p34->t125->p24
16708.4000 M293 682912 1 8049.4000 c44 c64 165 N c44->c64
16710.0000 M361 519507 1 6090.0000 c51 w80 198 N c51->w80
16753.8000 M502 533209 1 1959.8000 p22 p24 267 N p22->p24
16802.7000 M449 776711 1 3591.7000 p37 p31 240 N p37->p31
16809.7000 M102 825032 4 13755.7000 p13 p26 70 N p13->w116->w99->c43->p26
16868.3000 M400 610603 1 5103.3000 t123 p31 214 N t123->p31
16981.3000 M463 747092 2 3379.3000 c42 c63 243 N c42->p9->c63
16997.3000 M488 655690 3 2630.3000 p27 w94 256 N p27->t121->t123->w94
17044.2000 M519 783175 1 1740.2000 p13 w99 270 N p13->w99
17080.3000 M396 762552 2 5436.3000 c45 p6 209 N c45->w99->p6
17083.2000 M358 715916 2 6553.2000 p7 p6 190 N p7->w99->p6
17249.9000 M566 857488 1 532.9000 t121 c67 291 N t121->c67
17297.3000 M494 721905 1 2744.3000 c76 w103 254 N c76->w103
17471.7000 M472 775957 2 3590.7000 p20 w110 240 N p20->w104->w110
17496.5000 M569 808372 1 687.5000 p4 c49 288 N p4->c49
17515.5000 M421 739267 2 5119.5000 p30 w113 214 N p30->t125->w113
17541.7000 M301 899280 3 8654.7000 p6 p8 155 N p6->p2->w110->p8
17585.8000 M129 772566 4 13739.8000 c47 p3 71 N c47->w114->c49->t122->p3
17642.1000 M565 936392 1 953.1000 c56 c63 284 N c56->c63
17695.2000 M54 953264 6 16078.2000 p17 w104 32 N p17->c50->w108->w116->p37->p38->w104
17697.4000 M450 859986 1 4460.4000 w110 p17 225 N w110->p17
17699.5000 M385 524768 1 6385.5000 w110 p17 193 N w110->p17
17703.9000 M427 628778 4 5130.9000 p20 w117 214 N p20->p14->w88->c69->w117
17730.0000 M145 549490 3 13423.0000 w105 w81 76 N w105->w89->c72->w81
17884.8000 M503 719604 2 3056.8000 c56 w84 249 N c56->w108->w84
17924.2000 M534 752332 1 2167.2000 p21 c78 263 N p21->c78
17933.9000 M439 758133 1 5020.9000 w100 w105 216 N w100->w105
18045.1000 M391 769232 1 6550.1000 p21 c41 190 N p21->c41
